"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","573.12859","573.12860","573.12862"
"group_2118","","hypothetical protein","3","3","1","6","177","","","","884","884","884","573.12859_02520","573.12860_05227","573.12862_04974"
"lptF","","Lipopolysaccharide export system permease protein LptF","3","3","1","6","167","","","","1097","1097","1097","573.12859_02510","573.12860_04544","573.12862_04317"
"group_212","","hypothetical protein","3","3","1","1","2468","","","","410","410","410","573.12859_04029","573.12860_04071","573.12862_03692"
"group_2120","","hypothetical protein","3","3","1","1","2538","","","","446","446","446","573.12859_01832","573.12860_01115","573.12862_02075"
"phoU","","Phosphate-specific transport system accessory protein PhoU","3","3","1","9","32","","","","725","725","725","573.12859_03860","573.12860_03558","573.12862_03531"
"cysS","","Cysteine--tRNA ligase","3","3","1","1","676","","","","1385","1385","1385","573.12859_01038","573.12860_00647","573.12862_01139"
"group_2123","","hypothetical protein","3","3","1","2","396","","","","266","266","266","573.12859_01560","573.12860_01673","573.12862_00409"
"catC","","Muconolactone Delta-isomerase","3","3","1","1","2575","","","","290","290","290","573.12859_01795","573.12860_01152","573.12862_02038"
"modE","","DNA-binding transcriptional dual regulator ModE","3","3","1","1","860","","","","788","788","788","573.12859_00346","573.12860_03087","573.12862_03114"
"ubiX","","Flavin prenyltransferase UbiX","3","3","1","1","1771","","","","569","569","569","573.12859_03498","573.12860_00378","573.12862_01470"
"group_2127","","hypothetical protein","3","3","1","2","701","","","","563","563","563","573.12859_01314","573.12860_01480","573.12862_00095"
"group_2128","","IS1595 family transposase ISSsu9","3","3","1","4","172","","","","479","479","479","573.12859_00798","573.12860_00950","573.12862_00546"
"araG","","Arabinose import ATP-binding protein AraG","3","3","1","1","2233","","","","1514","1514","1514","573.12859_01984","573.12860_01924","573.12862_01717"
"group_213","","hypothetical protein","3","3","1","1","2469","","","","899","899","899","573.12859_04030","573.12860_04070","573.12862_03693"
"rnt","","Ribonuclease T","3","3","1","1","2696","","","","647","647","647","573.12859_01675","573.12860_01270","573.12862_01920"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","3","3","1","4","22","","","","455","455","455","573.12859_00946","573.12860_03780","573.12862_03814"
"exuT_2","","Hexuronate transporter","3","3","1","2","412","","","","1283","1283","1283","573.12859_01544","573.12860_01689","573.12862_00393"
"tomB","","Hha toxicity modulator TomB","3","3","1","1","636","","","","374","374","374","573.12859_01077","573.12860_00686","573.12862_01099"
"rbsD","","D-ribose pyranase","3","3","1","9","8","","","","419","419","419","573.12859_03884","573.12860_03534","573.12862_03555"
"sufD","","FeS cluster assembly protein SufD","3","3","1","1","2904","","","","1274","1274","1274","573.12859_02891","573.12860_03250","573.12862_02606"
"ygaV","","putative HTH-type transcriptional regulator YgaV","3","3","1","1","1047","","","","299","299","299","573.12859_04253","573.12860_04139","573.12862_03896"
"gltJ_2","","Glutamate/aspartate import permease protein GltJ","3","3","1","5","62","","","","740","740","740","573.12859_02279","573.12860_02335","573.12862_01352"
"fhuF","","Ferric iron reductase protein FhuF","3","3","1","4","250","","","","788","788","788","573.12859_00729","573.12860_01030","573.12862_00626"
"fabR","","HTH-type transcriptional repressor FabR","3","3","1","10","9","","","","635","635","635","573.12859_03792","573.12860_03710","573.12862_03567"
"group_214","","hypothetical protein","3","3","1","1","2475","","","","725","725","725","573.12859_04032","573.12860_04068","573.12862_03695"
"mlaC","","Intermembrane phospholipid transport system binding protein MlaC","3","3","1","2","432","","","","635","635","635","573.12859_01524","573.12860_01709","573.12862_00373"
"phoH","","Protein PhoH","3","3","1","1","1362","","","","788","788","788","573.12859_00638","573.12860_00123","573.12862_00831"
"aaeB_1","","p-hydroxybenzoic acid efflux pump subunit AaeB","3","3","1","2","394","","","","1967","1967","1967","573.12859_01562","573.12860_01671","573.12862_00411"
"rpoS","","RNA polymerase sigma factor RpoS","3","3","1","2","77","","","","992","992","992","573.12859_03391","573.12860_02219","573.12862_02805"
"murI","","Glutamate racemase","3","3","1","10","5","","","","851","851","851","573.12859_03796","573.12860_03714","573.12862_03563"
"coaD","","Phosphopantetheine adenylyltransferase","3","3","1","3","85","","","","479","479","479","573.12859_00250","573.12860_02786","573.12862_02951"
"ldcC","","Constitutive lysine decarboxylase","3","3","1","4","16","","","","2189","2189","2189","573.12859_00952","573.12860_03786","573.12862_03820"
"mlaD","","Intermembrane phospholipid transport system binding protein MlaD","3","3","1","2","431","","","","551","551","551","573.12859_01525","573.12860_01708","573.12862_00374"
"hslU","","ATP-dependent protease ATPase subunit HslU","3","3","1","10","35","","","","1334","1334","1334","573.12859_03766","573.12860_03684","573.12862_03593"
"secM","","Secretion monitor","3","3","1","4","116","","","","497","497","497","573.12859_00854","573.12860_00894","573.12862_00490"
"guaD_2","","Guanine deaminase","3","3","1","1","2487","","","","1310","1310","1310","573.12859_04043","573.12860_04055","573.12862_03707"
"rraB","","Regulator of ribonuclease activity B","3","3","1","6","161","","","","422","422","422","573.12859_02504","573.12860_04550","573.12862_04311"
"yqjE","","Inner membrane protein YqjE","3","3","1","2","502","","","","398","398","398","573.12859_01459","573.12860_01786","573.12862_00296"
"blc_2","","Outer membrane lipoprotein Blc","3","3","1","18","14","","","","533","533","533","573.12859_05000","573.12860_05167","573.12862_04909"
"fur","","Ferric uptake regulation protein","3","3","1","5","44","","","","452","452","452","573.12859_02307","573.12860_02356","573.12862_01376"
"glgS_1","","Surface composition regulator","3","3","1","2","574","","","","197","197","197","573.12859_01386","573.12860_01608","573.12862_00223"
"amiA","","N-acetylmuramoyl-L-alanine amidase AmiA","3","3","1","7","49","","","","872","872","872","573.12859_03300","573.12860_02427","573.12862_02443"
"truA","","tRNA pseudouridine synthase A","3","3","1","1","1764","","","","812","812","812","573.12859_03491","573.12860_00371","573.12862_01463"
"group_2157","","hypothetical protein","3","3","1","5","230","","","","272","272","272","573.12859_04670","573.12860_04802","573.12862_01215"
"yehZ","","Glycine betaine-binding protein YehZ","3","3","1","1","1906","","","","917","917","917","573.12859_04153","573.12860_00511","573.12862_01602"
"tolQ","","Tol-Pal system protein TolQ","3","3","1","5","7","","","","692","692","692","573.12859_02344","573.12860_02393","573.12862_01413"
"dgcM","","Diguanylate cyclase DgcM","3","3","1","1","2488","","","","1139","1400","1226","573.12859_04044","573.12860_04054","573.12862_03708"
"tag","","DNA-3-methyladenine glycosylase 1","3","3","1","3","154","","","","581","581","581","573.12859_00183","573.12860_05114","573.12862_04862"
"iscA","","Iron-binding protein IscA","3","3","1","7","137","","","","323","323","323","573.12859_03208","573.12860_02507","573.12862_02522"
"yraI","","putative fimbrial chaperone YraI","3","3","1","1","1053","","","","662","662","662","573.12859_04247","573.12860_04145","573.12862_03890"
"ispA","","Farnesyl diphosphate synthase","3","3","1","1","567","","","","899","899","899","573.12859_01146","573.12860_00755","573.12862_01030"
"hexR_3","","HTH-type transcriptional regulator HexR","3","3","1","6","143","","","","743","743","743","573.12859_02486","573.12860_04568","573.12862_04293"
"alaC","","Glutamate-pyruvate aminotransferase AlaC","3","3","1","1","1736","","","","1214","1214","1214","573.12859_04514","573.12860_00344","573.12862_01436"
"rutE","","putative malonic semialdehyde reductase RutE","3","3","1","1","1348","","","","590","590","590","573.12859_00624","573.12860_00137","573.12862_00845"
"group_2167","","hypothetical protein","3","3","1","1","2633","","","","1397","1397","1397","573.12859_01737","573.12860_01208","573.12862_01982"
"aroC","","Chorismate synthase","3","3","1","1","1753","","","","1085","1085","1085","573.12859_03480","573.12860_00360","573.12862_01452"
"sodB","","Superoxide dismutase [Fe]","3","3","1","1","2700","","","","581","581","581","573.12859_01671","573.12860_01274","573.12862_01916"
"ribX_2","","Riboflavin transport system permease protein RibX","3","3","1","1","2496","","","","695","740","710","573.12859_04051","573.12860_04046","573.12862_03716"
"tpiA","","Triosephosphate isomerase","3","3","1","3","55","","","","767","767","767","573.12859_00280","573.12860_02757","573.12862_02922"
"cpxA","","Sensor histidine kinase CpxA","3","3","1","10","42","","","","1373","1373","1373","573.12859_03759","573.12860_03677","573.12862_03600"
"group_2172","","hypothetical protein","3","3","1","1","1272","","","","635","635","635","573.12859_00534","573.12860_00207","573.12862_00915"
"wrbA","","NAD(P)H dehydrogenase (quinone)","3","3","1","1","1344","","","","596","596","596","573.12859_00620","573.12860_00141","573.12862_00849"
"rcnR","","Transcriptional repressor RcnR","3","3","1","1","618","","","","272","272","272","573.12859_01095","573.12860_00704","573.12862_01081"
"dppB_2","","Dipeptide transport system permease protein DppB","3","3","1","3","160","","","","1019","1019","1019","573.12859_00176","573.12860_03876","573.12862_02251"
"rbsC_3","","Ribose import permease protein RbsC","3","3","1","5","121","","","","998","998","998","573.12859_02220","573.12860_02276","573.12862_01293"
"dusA","","tRNA-dihydrouridine(20/20a) synthase","3","3","1","8","98","","","","941","941","941","573.12859_03909","573.12860_03173","573.12862_03200"
"maa","","Maltose O-acetyltransferase","3","3","1","1","634","","","","566","566","566","573.12859_01079","573.12860_00688","573.12862_01097"
"group_2179","","hypothetical protein","3","3","1","1","165","","","","326","326","326","573.12859_02987","573.12860_04701","573.12862_04893"
"yofA_2","","HTH-type transcriptional regulator YofA","3","3","1","1","2500","","","","881","881","881","573.12859_04055","573.12860_04042","573.12862_03720"
"group_2180","","hypothetical protein","3","3","1","1","925","","","","614","614","614","573.12859_00413","573.12860_03024","573.12862_03051"
"group_2181","","hypothetical protein","3","3","1","1","1216","","","","164","164","164","573.12859_00478","573.12860_00263","573.12862_04184"
"ubiC","","Chorismate pyruvate-lyase","3","3","1","8","89","","","","497","497","497","573.12859_03900","573.12860_03182","573.12862_03209"
"group_2183","","hypothetical protein","3","3","1","1","2857","","","","758","758","758","573.12859_02844","573.12860_03297","573.12862_02653"
"group_2184","","hypothetical protein","3","3","1","2","583","","","","422","422","422","573.12859_01377","573.12860_01599","573.12862_00214"
"group_2185","","hypothetical protein","3","3","1","1","2193","","","","191","191","191","573.12859_02024","573.12860_01964","573.12862_01757"
"amnD","","2-aminomuconate deaminase","3","3","1","1","2866","","","","368","368","368","573.12859_02853","573.12860_03288","573.12862_02644"
"lexA","","LexA repressor","3","3","1","8","93","","","","608","608","608","573.12859_03904","573.12860_03178","573.12862_03205"
"ndhC","","NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic","3","3","1","1","1793","","","","359","359","359","573.12859_03520","573.12860_00400","573.12862_01492"
"group_2189","","hypothetical protein","3","3","1","6","11","","","","785","785","785","573.12859_02355","573.12860_05353","573.12862_05029"
"group_219","","hypothetical protein","3","3","1","1","2510","","","","2285","2285","2285","573.12859_04065","573.12860_04032","573.12862_03730"
"nrdI","","Protein NrdI","3","3","1","1","1036","","","","410","410","410","573.12859_04264","573.12860_04128","573.12862_03907"
"group_2191","","hypothetical protein","3","3","1","1","101","","","","755","755","755","573.12859_04836","573.12860_03517","573.12862_03455"
"group_2192","","hypothetical protein","3","3","1","1","411","","","","722","722","722","573.12859_01296","573.12860_04748","573.12862_04266"
"cobD_2","","Cobalamin biosynthesis protein CobD","3","3","1","2","170","","","","959","959","959","573.12859_03670","573.12860_02137","573.12862_04066"
"livF_5","","High-affinity branched-chain amino acid transport ATP-binding protein LivF","3","3","1","13","23","","","","797","797","797","573.12859_04723","573.12860_04839","573.12862_04478"
"yejK","","Nucleoid-associated protein YejK","3","3","1","1","1849","","","","1007","1007","1007","573.12859_03575","573.12860_00457","573.12862_01548"
"rhaS_2","","HTH-type transcriptional activator RhaS","3","3","1","2","600","","","","899","899","899","573.12859_01360","573.12860_01582","573.12862_00197"
"gbpR","","HTH-type transcriptional regulator GbpR","3","3","1","1","2655","","","","923","923","923","573.12859_01716","573.12860_01229","573.12862_01961"
"group_2198","","hypothetical protein","3","3","1","7","145","","","","638","638","638","573.12859_03200","573.12860_02515","573.12862_02530"
